ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 1862, AID: 3 finished passing connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 1862, AID: 0 traveling to connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 1872, AID: 3 finished passing connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 1872, AID: 0 traveling to connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 1873, AID: 2 started passing connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 1883, AID: 2 started passing connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 1952, AID: 1 arrived at connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 1962, AID: 1 arrived at connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 1973, AID: 1 arrived at connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 2031, AID: 1 arrived at connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 2042, AID: 2 started passing connector.
ThreadID: 40f67f354d770000, CarID: 0, Object: N0, time stamp: 2273, AID: 3 finished passing connector.
ThreadID: 40e6ff344d770000, CarID: 1, Object: N0, time stamp: 2283, AID: 3 finished passing connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 2442, AID: 3 finished passing connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 2442, AID: 0 traveling to connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 2442, AID: 2 started passing connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 2452, AID: 2 started passing connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 2462, AID: 2 started passing connector.
ThreadID: 40b67f334d770000, CarID: 4, Object: N0, time stamp: 2842, AID: 3 finished passing connector.
ThreadID: 40c6ff334d770000, CarID: 3, Object: N0, time stamp: 2852, AID: 3 finished passing connector.
ThreadID: 40a6ff324d770000, CarID: 5, Object: N0, time stamp: 2863, AID: 3 finished passing connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 3042, AID: 1 arrived at connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 3042, AID: 2 started passing connector.
ThreadID: 40d67f344d770000, CarID: 2, Object: N0, time stamp: 3442, AID: 3 finished passing connector.
